Vertices: 20, Density: 0,1, Algorithm: DFS, Structure: Matrix: 0,554775 milliseconds
Vertices: 20, Density: 0,2, Algorithm: DFS, Structure: Matrix: 0,588785 milliseconds
Vertices: 20, Density: 0,3, Algorithm: DFS, Structure: Matrix: 0,5917600000000001 milliseconds
Vertices: 20, Density: 0,4, Algorithm: DFS, Structure: Matrix: 0,57879 milliseconds
Vertices: 20, Density: 0,5, Algorithm: DFS, Structure: Matrix: 0,60631 milliseconds
Vertices: 40, Density: 0,1, Algorithm: DFS, Structure: Matrix: 1,81418 milliseconds
Vertices: 40, Density: 0,2, Algorithm: DFS, Structure: Matrix: 1,85032 milliseconds
Vertices: 40, Density: 0,3, Algorithm: DFS, Structure: Matrix: 1,9039750000000004 milliseconds
Vertices: 40, Density: 0,4, Algorithm: DFS, Structure: Matrix: 2,90557 milliseconds
Vertices: 40, Density: 0,5, Algorithm: DFS, Structure: Matrix: 2,02301 milliseconds
Vertices: 60, Density: 0,1, Algorithm: DFS, Structure: Matrix: 3,7287 milliseconds
Vertices: 60, Density: 0,2, Algorithm: DFS, Structure: Matrix: 3,92331 milliseconds
Vertices: 60, Density: 0,3, Algorithm: DFS, Structure: Matrix: 3,9509300000000005 milliseconds
Vertices: 60, Density: 0,4, Algorithm: DFS, Structure: Matrix: 3,981320000000001 milliseconds
Vertices: 60, Density: 0,5, Algorithm: DFS, Structure: Matrix: 4,31929 milliseconds
Vertices: 80, Density: 0,1, Algorithm: DFS, Structure: Matrix: 6,145590000000001 milliseconds
Vertices: 80, Density: 0,2, Algorithm: DFS, Structure: Matrix: 6,562195 milliseconds
Vertices: 80, Density: 0,3, Algorithm: DFS, Structure: Matrix: 6,8053799999999995 milliseconds
Vertices: 80, Density: 0,4, Algorithm: DFS, Structure: Matrix: 7,136915 milliseconds
Vertices: 80, Density: 0,5, Algorithm: DFS, Structure: Matrix: 7,512054999999999 milliseconds
Vertices: 100, Density: 0,1, Algorithm: DFS, Structure: Matrix: 12,009065 milliseconds
Vertices: 100, Density: 0,2, Algorithm: DFS, Structure: Matrix: 10,29082 milliseconds
Vertices: 100, Density: 0,3, Algorithm: DFS, Structure: Matrix: 10,697199999999999 milliseconds
Vertices: 100, Density: 0,4, Algorithm: DFS, Structure: Matrix: 11,410235 milliseconds
Vertices: 100, Density: 0,5, Algorithm: DFS, Structure: Matrix: 11,701915000000001 milliseconds
Vertices: 120, Density: 0,1, Algorithm: DFS, Structure: Matrix: 14,007855000000001 milliseconds
Vertices: 120, Density: 0,2, Algorithm: DFS, Structure: Matrix: 15,238945000000001 milliseconds
Vertices: 120, Density: 0,3, Algorithm: DFS, Structure: Matrix: 15,269835 milliseconds
Vertices: 120, Density: 0,4, Algorithm: DFS, Structure: Matrix: 16,487029999999997 milliseconds
Vertices: 120, Density: 0,5, Algorithm: DFS, Structure: Matrix: 17,465650000000004 milliseconds
Vertices: 140, Density: 0,1, Algorithm: DFS, Structure: Matrix: 18,981279999999998 milliseconds
Vertices: 140, Density: 0,2, Algorithm: DFS, Structure: Matrix: 20,233765 milliseconds
Vertices: 140, Density: 0,3, Algorithm: DFS, Structure: Matrix: 21,505305 milliseconds
Vertices: 140, Density: 0,4, Algorithm: DFS, Structure: Matrix: 22,940685000000002 milliseconds
Vertices: 140, Density: 0,5, Algorithm: DFS, Structure: Matrix: 23,870549999999998 milliseconds
Vertices: 160, Density: 0,1, Algorithm: DFS, Structure: Matrix: 24,646765 milliseconds
Vertices: 160, Density: 0,2, Algorithm: DFS, Structure: Matrix: 26,621845 milliseconds
Vertices: 160, Density: 0,3, Algorithm: DFS, Structure: Matrix: 28,400735000000005 milliseconds
Vertices: 160, Density: 0,4, Algorithm: DFS, Structure: Matrix: 30,50741 milliseconds
Vertices: 160, Density: 0,5, Algorithm: DFS, Structure: Matrix: 31,837545 milliseconds
Vertices: 180, Density: 0,1, Algorithm: DFS, Structure: Matrix: 32,541019999999996 milliseconds
Vertices: 180, Density: 0,2, Algorithm: DFS, Structure: Matrix: 34,86911500000001 milliseconds
Vertices: 180, Density: 0,3, Algorithm: DFS, Structure: Matrix: 37,610834999999994 milliseconds
Vertices: 180, Density: 0,4, Algorithm: DFS, Structure: Matrix: 40,51636499999999 milliseconds
Vertices: 180, Density: 0,5, Algorithm: DFS, Structure: Matrix: 41,842524999999995 milliseconds
Vertices: 200, Density: 0,1, Algorithm: DFS, Structure: Matrix: 39,581739999999996 milliseconds
Vertices: 200, Density: 0,2, Algorithm: DFS, Structure: Matrix: 43,197129999999994 milliseconds
Vertices: 200, Density: 0,3, Algorithm: DFS, Structure: Matrix: 46,77731 milliseconds
Vertices: 200, Density: 0,4, Algorithm: DFS, Structure: Matrix: 50,807820000000014 milliseconds
Vertices: 200, Density: 0,5, Algorithm: DFS, Structure: Matrix: 53,26174000000001 milliseconds
Vertices: 20, Density: 0,1, Algorithm: DFS, Structure: List: 0,6893950000000001 milliseconds
Vertices: 20, Density: 0,2, Algorithm: DFS, Structure: List: 0,648755 milliseconds
Vertices: 20, Density: 0,3, Algorithm: DFS, Structure: List: 0,62178 milliseconds
Vertices: 20, Density: 0,4, Algorithm: DFS, Structure: List: 0,5612600000000001 milliseconds
Vertices: 20, Density: 0,5, Algorithm: DFS, Structure: List: 0,6496749999999999 milliseconds
Vertices: 40, Density: 0,1, Algorithm: DFS, Structure: List: 2,358565 milliseconds
Vertices: 40, Density: 0,2, Algorithm: DFS, Structure: List: 1,9234949999999997 milliseconds
Vertices: 40, Density: 0,3, Algorithm: DFS, Structure: List: 1,7134699999999996 milliseconds
Vertices: 40, Density: 0,4, Algorithm: DFS, Structure: List: 1,9739149999999999 milliseconds
Vertices: 40, Density: 0,5, Algorithm: DFS, Structure: List: 1,8695499999999998 milliseconds
Vertices: 60, Density: 0,1, Algorithm: DFS, Structure: List: 3,7370650000000003 milliseconds
Vertices: 60, Density: 0,2, Algorithm: DFS, Structure: List: 3,7415299999999996 milliseconds
Vertices: 60, Density: 0,3, Algorithm: DFS, Structure: List: 4,04256 milliseconds
Vertices: 60, Density: 0,4, Algorithm: DFS, Structure: List: 3,927125000000001 milliseconds
Vertices: 60, Density: 0,5, Algorithm: DFS, Structure: List: 4,12615 milliseconds
Vertices: 80, Density: 0,1, Algorithm: DFS, Structure: List: 6,64003 milliseconds
Vertices: 80, Density: 0,2, Algorithm: DFS, Structure: List: 6,47102 milliseconds
Vertices: 80, Density: 0,3, Algorithm: DFS, Structure: List: 6,2665500000000005 milliseconds
Vertices: 80, Density: 0,4, Algorithm: DFS, Structure: List: 7,003199999999998 milliseconds
Vertices: 80, Density: 0,5, Algorithm: DFS, Structure: List: 6,7244350000000015 milliseconds
Vertices: 100, Density: 0,1, Algorithm: DFS, Structure: List: 9,825534999999999 milliseconds
Vertices: 100, Density: 0,2, Algorithm: DFS, Structure: List: 10,047060000000002 milliseconds
Vertices: 100, Density: 0,3, Algorithm: DFS, Structure: List: 10,466415000000001 milliseconds
Vertices: 100, Density: 0,4, Algorithm: DFS, Structure: List: 9,523094999999998 milliseconds
Vertices: 100, Density: 0,5, Algorithm: DFS, Structure: List: 10,52669 milliseconds
Vertices: 120, Density: 0,1, Algorithm: DFS, Structure: List: 13,59578 milliseconds
Vertices: 120, Density: 0,2, Algorithm: DFS, Structure: List: 13,721889999999998 milliseconds
Vertices: 120, Density: 0,3, Algorithm: DFS, Structure: List: 13,927240000000001 milliseconds
Vertices: 120, Density: 0,4, Algorithm: DFS, Structure: List: 14,030670000000004 milliseconds
Vertices: 120, Density: 0,5, Algorithm: DFS, Structure: List: 14,253874999999999 milliseconds
Vertices: 140, Density: 0,1, Algorithm: DFS, Structure: List: 18,490310000000004 milliseconds
Vertices: 140, Density: 0,2, Algorithm: DFS, Structure: List: 18,567390000000003 milliseconds
Vertices: 140, Density: 0,3, Algorithm: DFS, Structure: List: 19,868730000000003 milliseconds
Vertices: 140, Density: 0,4, Algorithm: DFS, Structure: List: 19,307274999999997 milliseconds
Vertices: 140, Density: 0,5, Algorithm: DFS, Structure: List: 19,5026 milliseconds
Vertices: 160, Density: 0,1, Algorithm: DFS, Structure: List: 23,379985 milliseconds
Vertices: 160, Density: 0,2, Algorithm: DFS, Structure: List: 24,04627 milliseconds
Vertices: 160, Density: 0,3, Algorithm: DFS, Structure: List: 24,805709999999998 milliseconds
Vertices: 160, Density: 0,4, Algorithm: DFS, Structure: List: 25,212764999999997 milliseconds
Vertices: 160, Density: 0,5, Algorithm: DFS, Structure: List: 25,726795 milliseconds
Vertices: 180, Density: 0,1, Algorithm: DFS, Structure: List: 30,81397 milliseconds
Vertices: 180, Density: 0,2, Algorithm: DFS, Structure: List: 31,610290000000003 milliseconds
Vertices: 180, Density: 0,3, Algorithm: DFS, Structure: List: 32,46468 milliseconds
Vertices: 180, Density: 0,4, Algorithm: DFS, Structure: List: 32,59323 milliseconds
Vertices: 180, Density: 0,5, Algorithm: DFS, Structure: List: 34,26240500000001 milliseconds
Vertices: 200, Density: 0,1, Algorithm: DFS, Structure: List: 37,318960000000004 milliseconds
Vertices: 200, Density: 0,2, Algorithm: DFS, Structure: List: 40,083059999999996 milliseconds
Vertices: 200, Density: 0,3, Algorithm: DFS, Structure: List: 40,29076 milliseconds
Vertices: 200, Density: 0,4, Algorithm: DFS, Structure: List: 39,206345000000006 milliseconds
Vertices: 200, Density: 0,5, Algorithm: DFS, Structure: List: 40,53628499999999 milliseconds
Vertices: 20, Density: 0,1, Algorithm: BFS, Structure: Matrix: 0,9603850000000003 milliseconds
Vertices: 20, Density: 0,2, Algorithm: BFS, Structure: Matrix: 0,8900650000000001 milliseconds
Vertices: 20, Density: 0,3, Algorithm: BFS, Structure: Matrix: 0,887965 milliseconds
Vertices: 20, Density: 0,4, Algorithm: BFS, Structure: Matrix: 1,09596 milliseconds
Vertices: 20, Density: 0,5, Algorithm: BFS, Structure: Matrix: 1,1080399999999997 milliseconds
Vertices: 40, Density: 0,1, Algorithm: BFS, Structure: Matrix: 3,33688 milliseconds
Vertices: 40, Density: 0,2, Algorithm: BFS, Structure: Matrix: 4,411504999999999 milliseconds
Vertices: 40, Density: 0,3, Algorithm: BFS, Structure: Matrix: 5,7823150000000005 milliseconds
Vertices: 40, Density: 0,4, Algorithm: BFS, Structure: Matrix: 6,560040000000001 milliseconds
Vertices: 40, Density: 0,5, Algorithm: BFS, Structure: Matrix: 7,790359999999998 milliseconds
Vertices: 60, Density: 0,1, Algorithm: BFS, Structure: Matrix: 10,246190000000002 milliseconds
Vertices: 60, Density: 0,2, Algorithm: BFS, Structure: Matrix: 15,412004999999999 milliseconds
